Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
97.4825;0.20500000000000002;0.04;0.25;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;411.0;46.6;0.475;NA;2.34e-05;12.0;160.0;205.0;80.0;0.29;1035.0;1325.0
0.0;0.02;0.0;1.0;0.0;0.8;18.5;12.0;2.8;0.0;NA;NA;NA;NA;NA;NA;35.0;NA;NA;NA;NA;590.0;590.0
97.4825;0.20500000000000002;0.04;0.25;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;411.0;46.6;0.475;NA;2.34e-05;12.5;160.0;205.0;80.0;0.29;1036.0;1324.0
86.37;0.13;0.0;0.2;0.0;0.25;4.2;3.4;4.25;0.0;7.86;NA;NA;NA;11.2;NA;NA;NA;203.0;NA;NA;NA;NA
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;276.0;46.6;0.475;NA;2.34e-05;22.5;160.0;205.0;80.0;0.29;533.0;898.0
96.4625;0.2;0.04;0.22499999999999998;0.035;0.55;0.5;1.775;0.25;0.0;7.85;247.0;44.5;0.475;11.3;2.45e-05;20.8;160.0;205.0;80.0;0.29;460.0;793.0
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;292.0;46.6;0.475;NA;2.34e-05;21.2;160.0;205.0;80.0;0.29;834.0;931.0
95.31;0.07;0.025;0.4;0.025;0.55;0.75;0.85;0.2;1.15;7.8;NA;NA;NA;NA;NA;20.0;NA;NA;NA;NA;448.0;NA
97.4625;0.225;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;411.0;46.6;0.475;NA;2.34e-05;12.8;160.0;205.0;80.0;0.29;928.0;1314.0
96.17;0.07;0.025;0.4;0.025;0.55;0.75;0.85;0.0;1.15;7.8;NA;52.0;0.47;12.0;1.7e-05;20.0;160.0;200.0;80.0;0.29;345.0;482.5
2.0;0.05;0.01;0.4;0.015;1.0;21.0;60.0;9.0;0.0;NA;NA;NA;NA;NA;NA;30.0;NA;NA;NA;NA;530.0;770.0
94.6;0.925;0.025;0.65;0.025;1.5499999999999998;1.6;0.25;0.1;0.35;7.8;NA;52.0;0.47;12.0;1.7e-05;NA;160.0;200.0;80.0;0.29;NA;NA
96.93;0.18;0.04;0.22499999999999998;0.04;0.7749999999999999;0.44999999999999996;1.05;0.35;0.0;7.85;361.0;44.5;0.475;NA;2.45e-05;9.6;160.0;205.0;80.0;0.29;735.0;1131.0
96.22999999999999;0.07;0.025;0.4;0.025;0.55;0.75;0.85;0.2;1.15;7.85;NA;46.6;0.475;NA;2.34e-05;20.0;160.0;205.0;80.0;0.29;415.0;495.0
95.76249999999999;0.4;0.04;0.22499999999999998;0.035;0.7;0.8;1.825;0.25;0.0;7.85;292.0;44.5;0.475;10.4;2.48e-05;20.0;159.0;200.0;78.0;0.29;883.0;958.0
96.4175;0.195;0.04;0.22499999999999998;0.035;0.55;0.5;1.825;0.25;0.0;7.85;309.0;44.5;0.475;11.3;2.45e-05;15.0;160.0;205.0;80.0;0.29;793.0;958.0
0.0;0.017;0.012;0.4;0.02;0.9;16.0;5.5;1.0;0.0;NA;NA;NA;NA;NA;NA;20.0;NA;NA;NA;NA;470.0;850.0
95.7225;0.405;0.02;0.22499999999999998;0.025;0.75;0.8;1.825;0.25;0.0;7.85;384.0;44.5;0.475;12.3;2.48e-05;13.7;159.0;200.0;78.0;0.29;1165.0;1255.0
97.15575;0.45499999999999996;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;360.0;NA;NA;NA;NA;15.0;160.0;NA;80.0;NA;1080.0;1157.0
94.47999999999999;0.10500000000000001;0.025;0.275;0.025;0.55;1.2;3.25;0.11499999999999999;0.0;7.85;276.0;51.9;0.472;11.5;1.74e-05;19.5;160.0;200.0;80.0;0.29;565.0;903.0
97.541;0.45499999999999996;0.04;0.22499999999999998;0.035;0.875;0.44999999999999996;0.3;0.11499999999999999;0.0;7.85;211.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
96.48249999999999;0.405;0.04;0.22499999999999998;0.035;0.8;0.8;1.0;0.25;0.0;7.87;382.0;51.9;0.472;11.5;1.74e-05;15.0;160.0;200.0;80.0;0.29;1105.0;1240.0
72.65;0.15;0.0;0.1;0.0;0.1;2.0;10.0;1.0;0.0;7.83;NA;NA;NA;NA;NA;16.0;NA;203.0;NA;NA;1517.0;1670.0
97.4375;0.25;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;211.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
96.16;0.2;0.05;0.325;0.04;1.05;0.55;0.5;0.0;0.30000000000000004;7.8;NA;NA;NA;NA;NA;19.0;NA;NA;NA;NA;290.0;NA
94.47999999999999;0.10500000000000001;0.025;0.275;0.025;0.55;1.2;3.25;0.11499999999999999;0.0;7.85;309.0;51.9;0.472;11.5;1.74e-05;18.5;160.0;200.0;80.0;0.29;745.0;1000.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;207.0;46.6;0.475;NA;2.34e-05;26.3;160.0;205.0;80.0;0.29;370.0;660.0
0.0;0.02;0.015;0.5;0.02;1.6;23.0;9.0;3.1;0.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94.47999999999999;0.10500000000000001;0.025;0.275;0.025;0.55;1.2;3.25;0.11499999999999999;0.0;7.85;284.0;51.9;0.472;11.5;1.74e-05;18.8;160.0;200.0;80.0;0.29;570.0;910.0
94.73;0.37;0.0;0.3;0.0;1.4;2.0;1.0;0.2;0.0;7.81;NA;29.1;0.46;12.7;NA;14.0;NA;205.0;NA;NA;827.0;979.0
